employee_id,training_date,training_name,training_type,outcome,training_location,trainer,duration_days,cost
1001,9/21/2022,Customer Service,Internal,Failed,Port Greg,Amanda Daniels,4,510.83
1005,5/12/2023,Communication Skills,External,Passed,Bruceshire,Heather Shaffer,4,145.99
1009,8/21/2022,Customer Service,Internal,Failed,Johnland,Katelyn Hartman,2,101.21
1011,11/6/2022,Communication Skills,Internal,Passed,Smithshire,Natalie Fields,1,803.98
1013,4/8/2023,Project Management,External,Failed,East Jessicatown,Michael Marks,2,657.85
1014,2/21/2023,Customer Service,External,Failed,Watersview,Rachel Jones,2,895.49
1015,5/13/2023,Leadership Development,External,Passed,Port Ninaland,Jennifer Olson,1,539
1019,10/26/2022,Project Management,External,Passed,Powellland,Jon Garcia,5,436.98
1021,3/10/2023,Technical Skills,Internal,Failed,Patrickhaven,Crystal Nelson,1,647.16
1022,1/12/2023,Project Management,Internal,Failed,Lindseyburgh,Kevin Nichols,1,664.23
1029,2/25/2023,Project Management,Internal,Failed,Lake Anthonyton,Christopher Rowland,5,729.41
1030,1/4/2023,Communication Skills,Internal,Passed,Longton,Wendy Gibson,1,169.46
1031,12/26/2022,Communication Skills,Internal,Failed,New Williamland,Ashley Gonzalez,1,833.28
1033,6/20/2023,Communication Skills,Internal,Failed,Smithshire,William Smith,4,169.85
1034,11/10/2022,Leadership Development,Internal,Failed,Lake Anthony,Cynthia Brown,1,570.62
1035,3/11/2023,Communication Skills,Internal,Passed,New Nancy,Joseph Mendoza,2,724.14
1038,7/28/2023,Customer Service,External,Failed,Jamesland,Eric Davis,2,516.89
1040,12/1/2022,Technical Skills,Internal,Passed,Robertsmouth,Robert Johnson,5,712.84
1042,10/5/2022,Project Management,Internal,Passed,New Jesusfort,Brian Maynard,1,228.11
1044,9/13/2022,Technical Skills,External,Failed,Smithborough,Stephanie Navarro,4,920.78
1047,11/27/2022,Project Management,Internal,Passed,Smithland,James Phelps,2,606.63
1048,12/2/2022,Leadership Development,Internal,Passed,Powelltown,Ronald Rivera,5,503.99
1050,8/3/2023,Customer Service,Internal,Passed,Samanthaport,James Reed,1,846.43
